arouse	вызывать, пробуждать	Something aroused their interest.
get about	передвигаться (на чём-то)	We use self-made carts to get about the city.
exchange	обмен	He got a crayfish in exchange for a piece of cloth.
leather	кожаный, кожа	He carries it in his leather bag wherever he goes.
basement	подвал	It was found in this ancient basement.
instance	пример, случай	This story is an instance of a split personality.
sheep (pl:sheep)	овца	It's a special breed of sheep.
sufficient	достаточный	We have a sufficient amount of dynamite.
vulnerable	уязвимый, чувствительный	Vampires are vulnerable to sunlight.
solution	решение, ответ	Even a child can find a solution for it.
sail	парус, плыть (о судне)	I've sailed across the Gulf of Mexico four times.
change	сдача, мелочь	I had no money left, just a handful of change.
stick (stuck, stuck)	приклеить	A bindi is stuck on the forehead.
keep off	избегать, не трогать	Please keep off the grass.
require	требовать	The game of chess requires concentration.
invent	изобретать	Hiram Maxim invented his machine gun in 1883.
happen	случиться, происходить	What's happening in this town?
primary	первичный, главный	The aircraft carrier is our primary target to hit.
yard	двор	On Halloween I put a dummy body in my yard.
direct	направлять	A traffic officer directed us off the highway.
inflate	надувать	First they inflate it with hot air.
moron	дебил	Well, what are you morons waiting for?
fare	плата за проезд	The bus fare is two dollars one way.
virtual	действительный, фактический	In the 1930s, he became a virtual dictator.
erect	воздвигнуть, соорудить	A huge Nandikesh is erected beside the temple.
about	примерно	The height of that rock is about 220 feet.
farm	ферма	Presently, there are 23 sheep on the farm.
situate	располагать	My island is situated over here.
sentiment	настроение, чувство	I didn't share these anti-war sentiments.
prevail	преобладать, возобладать	Granite rocks prevail all over the area.
glow	сияние, свечение	The sunset glow faded into darkness.
stage	стадия, ступень	The next stage after feudalism is capitalism.
accurate	точный	Tomas is accurate and prompt.
drop	падать, ронять	Pilots dropped bombs by hand back then.
fertile	плодородный	The soil is so fertile that a stick will grow.
indicate	указывать, означать	The swishing of the tail indicates annoyance.
elect	избирать	Every few years they elect the president.
evidence	доказательство (неисчисл.)	There were some pieces of evidence on the spot.
be over	закончиться	The paper is over. What a shitty day.
legitimate	законный, обоснованный	I understand it all wasn't legitimate enough.
regular	обычный	Nothing special, just a regular angel.
at once	сразу	This cat can eat the whole fish at once.
cheat on	изменять	If he only knew that I cheat on him.
excess	избыток, чрезмерный	The excess water is discharged through the spillways.
define	определять	The dictionary defines more than 30,000 terms.
mud	грязь	It spattered us with warm sandy mud.
separate	отдельный, отделять	No, we need a room with two separate beds.
loose	свободный, болтающийся	Leave the knot loose for the time being
resist	сопротивляться	We could hardly resist the current.
pot	горшок, кастрюля	Let's buy a pot. I need a pot.
cancer	рак (болезнь)	Cancer cells are not all alike.
empty	пустой, опустошать	The beer is over, the glasses are empty.
sleep around	трахаться, блудить	She always sleeps around like crazy.
apartment	квартира	Renting an apartment is much cheaper.
trunk	чемодан, сундук	'Granddad's trunk!' Mel exclaimed.
confess	признаваться	He confessed that he was linked to ISIS.
hat	шляпа	These hats are best against the heat.
pole	шест, столб	My name is Rafaela, I'm a pole dancer.
look for	искать	Everybody looked for gold.
physician	врач	My physician didn't care.
influence	влиять, влияние	Our behavior is influenced by many factors.
punch	удар (кулаком), бить	The next punch broke his nose.
praise	хвалить, похвала	My father seldom praised me.
introduce	ввести (в употребление)	St. Patrick introduced Christianity into Ireland.
blank	пустой, чистый	Pin a blank sheet and have a pen on hand.
heritage	наследие	I'm not interested in their cultural heritage.
get over	пережить, принять	I still just can't get over the whole thing!
light up	осветить или загореться	The sunrise lit up the Arizona desert.
serve	подавать (блюдо)	The breakfast was served on the outside terrace.
data	данные	All your personal data is stored forever.
reluctant	неохотный, нежелающий	He is always reluctant to cross streets.
pin	булавка, штырь, прикалывать	Give me a pin. The green one.
claim	утверждать, претендовать	He also claimed to be an incarnation of Shiva.
for the sake of	ради	For the sake of God, put it down.
prosper	процветать, преуспевать	My business prospers and grows.
heritage	наследие	I'm not interested in their cultural heritage.
get over	пережить, принять	I still just can't get over the whole thing!
light up	осветить или загореться	The sunrise lit up the Arizona desert.
serve	подавать (блюдо)	The breakfast was served on the outside terrace.
data	данные	All your personal data is stored forever.
reluctant	неохотный, нежелающий	He is always reluctant to cross streets.
pin	булавка, штырь, прикалывать	Give me a pin. The green one.
claim	утверждать, претендовать	He also claimed to be an incarnation of Shiva.
for the sake of	ради	For the sake of God, put it down.
prosper	процветать, преуспевать	My business prospers and grows.
rotate	вращать	See that rotating contraption over there?
tape	лента, записывать на ленту	The old tapes need digitizing.
shirt	рубашка	I need a plaid shirt, or maybe two.
turkey	индейка, индюк	Turkeys are the most stupid birds there are.
leak	утечка, просачиваться, протекать	It took us an hour to eliminate the leak.
butter	масло сливочное	Betty Botter bought some butter. (с)
horizon	горизонт, кругозор	It's over there on the horizon.
level	уровень	The Cabinet of Reading contains 3 levels.
roof	крыша	The cat on the roof is not just a cat.
found	основать, учредить	The city was founded on swamp land.
at odds with	в противоречии, в конфликте	I feel a little at odds with myself.
distract	отвлекать	Don't get distracted while driving.
determined	решителен	Frodo and Sam were determined to do their best.
iron	утюг, гладить	Iron them before using.
bowl	миска	Listen to the healing sound of this singing bowl.
accident	происшествие, напр. ДТП	I doubt he survived this horrible accident.
department	отдел	The department needed is behind one of the doors.
desert	бросать, оставлять	I joined them for a party in a deserted house.
search	поиски, искать	The search continued for 5 days with no clues found.
pants	штаны	These Japanese pants are roomy and stylish.
network	сеть	The brain is a network of extraordinary complexity.
tip	совет, рекомендация	These are tips for instructional design.
pit	яма	Nothing was found in the pit.
run away	убежать	I ran away from home and hiked all summer long.
pair	пара	Nothing much, just a pair of boots.
ignorant	невежественный	These people are poor and ignorant.
scholarship (money)	стипендия	My scholarship is not enough for a decent gift.
plot	сюжет	Let me tell you the plot of my new novel.
foster	способствовать, питать и т.д.	Watering fosters the growth of cabbage.
leap	прыгать, прыжок	A grizzly bear can catch a leaping salmon.
silent	тихий, молчаливый	Silent Hill is not so silent.
tower	башня, возвышаться	The Belfry towers above the central square.
bush	куст	There, under the whin bushes, is a big hole.
snap	щёлкать, щелчок	He can start a fire by snapping his fingers.
race	гонка	The elephant race fest is held in Don village.
quite	вполне или более-менее	She looked like quite a lady.
part	часть, разделять(ся)	The Roman Empire occupied part of Africa as well.
slope	склон, наклон	Slow down, there is a pothole behind the slope.
threat	угроза	Poaching is the most serious threat to lions.
laughter	смех	I heard the nasty laughter of Mr. Cobb.
asset	актив, имущество	Silver bars are good investment assets.
pour in (into)	хлынуть, заполонить	A crowd poured into the mall during the Sale.
heaven	небеса	All dogs go to heaven.
rival	соперничающий, враждебный	Two rival tribes united against the third one.
refuge	убежище, пристанище	At length, he found refuge deep in the forest.
neglect	пренебрегать, не следить	The number of neglected children doubled.
right away	немедленно	You have to get out of here right away.
plant	завод, производство	Here is a modern nuclear power plant.
burn	жечь	Let's burn something else.
salary	зарплата	Here's your salary. You haven't earned more.
be on fire	гореть	The roof, the roof, the roof is on fire!
point	острие, кончик	Bushman hunters poison their arrow points.
chill	холод, охлаждать	Huskies don't care about winter chill.
jet	реактивный двигатель/самолёт	The jet went down soon after take-off.
convey	перевозить, передавать	The boat conveys passengers along the river.
basket	корзина	We will need the biggest basket.
sign	подпись, подписывать	Don was kind enough to sign his book for me.
rage	ярость	The rage is burning me from the inside.
gas	бензин	My grandad had a gas station in Ohio.
bring in	привлечь	We brought in a new contractor to finish up.
attorney	адвокат, прокурор, поверенный	I'm Jim Garrison, the District Attorney of New Orleans.
exact	точный	Five minutes. Five and a half, to be exact.
overall	общий, целый	Thus, the overall system tends to collapse.
powerful	мощный, действенный	This is a tranquilizer more powerful than morphine.
question	подвергать сомнению	You just questioned your own sanity.
row	ряд	35th street is a colorful row of houses.
chat	болтать	I stopped to chat with her.
assault	нападение, нападать	I did not take part in assaulting the police car.
blade	лезвие	Its blade is made of Damascus steel.
mold (mould)	форма, формировать	This mould was used to cast bronze gears.
common	обычный, распространённый	Bob was a common American guy.
creepy	жуткий	My sister collects creepy pictures.
oblige	обязывать	In fact, the contract doesn't oblige me to pay.
degree	градус	It was 50 degrees below zero outside.
potato	картофель	Somebody steals potatoes from my field.
pocket	карман, карманный	The second key is in my pocket.
touch	касаться, прикосновение	Sound can be transmitted through touch.
go out	погаснуть	The lanterns went out. The street is empty.
bar	загораживать	The road is barred. Our plan has failed.
put on	провести (мероприятие)	They put on the carnival every year.
allow	разрешать	Dad, allow me to set the straw on fire.
deploy	развёртывать	Hungarians deployed the troops first.
vast	просторный, простор	Perhaps one percent of this vast prairie remains.
throw (threw, thrown)	бросать	These guys are good at spear throwing.
get together	собираться	Witches get together every full moon for a party.
awful	ужасный	You look awful when you do that.
testimony	показание, свидетельство	We couldn't refute their testimonies.
bubble	пузырь	Learn to blow big bubbles.
skate	конёк, кататься на коньках	Kevin taught me to skate.
limb	конечность	Now all my limbs hurt.
fault	вина, ошибка	It's my fault, don't punish me too hard.
predict	предсказывать	Vanga predicted the end of Europe in 2016.
exercise	упражнение, тренироваться	I still don't like this exercise.
fine	хороший	I met an old man who sold fine souvenirs.
confine	ограничить (ся)	Let's confine ourselves to this area.
shelf (pl: shelves)	полка, уступ	Yes, you should put him back on the shelf.
forgive (forgave, forgiven)	простить	I don't know if I will ever forgive you.
literal	буквальный	The literal meaning of contradict is 'say against'.
block	квартал	The block was already almost empty of people.
send (sent, sent)	отправить	I needed to send a couple of postcards.
shield	щит, прикрывать	Check the shields before the battle.
advertise	рекламировать	Sean Connery advertised Jim Beam whiskey in 60-s.
come along	идти вместе	The water is great. Come along with me!
encounter	встретиться, столкнуться	We encountered just two tired-looking dogs.
volume	объём	Calculate the volume of the sphere.
shrink (shrank, shrunk)	сжаться, съёжиться	The universe will shrink until it collapses.
opposite	противоположный	It's just on the opposite bank.
property	собственность	Frogmore House is the property of the royal family.
wind (wound, wound)	наматывать, виться, петлять	I'm on the top floor, right next to the winding stairs.
charge	плата	The 20$ delivery charge is crazy.
award	награда, премия, присуждать	Do you think he deserves this award?
holy	святой, священный	It's a holy place for all buddhists.
end up	заканчивать чем-либо	Sir, you will end up in prison. Control yourself.
blow (blew blown)	удар	The blow was almost fatal.
drill	сверло, сверлить	We have to drill six more holes.
skirt	юбка	I stained my skirt while posing.
stock	акции	Stocks fell; panic seized the investors.
goal	цель	The Argonauts' goal was to obtain the golden fleece.
hit (hit, hit)	попасть, достичь	Look. I'll hit him in the eye.
rely	полагаться	Relax, rely on my experience.
award	награда, премия, присуждать	Do you think he deserves this award?
holy	святой, священный	It's a holy place for all buddhists.
end up	заканчивать чем-либо	Sir, you will end up in prison. Control yourself.
blow (blew blown)	удар	The blow was almost fatal.
drill	сверло, сверлить	We have to drill six more holes.
skirt	юбка	I stained my skirt while posing.
stock	акции	Stocks fell; panic seized the investors.
goal	цель	The Argonauts' goal was to obtain the golden fleece.
hit (hit, hit)	попасть, достичь	Look. I'll hit him in the eye.
rely	полагаться	Relax, rely on my experience.
go through	просмотреть, перебрать	Dean is going through every single pipe.
mind	возражать	Do you mind my smoking?
substance	вещество, материя	Sell me some of this substance.
drop	капля	Do you see the world reflected in a drop of dew?
turn out	оказаться	The insects turned out better than I expected.
feedback	обратная связь	Please send us feedback about any mistakes.
consider	считать чем-либо	I consider him the weakest link in the team.
shake (shook, shaken)	трясти	The dog came to me and shook its wet fur.
neither...nor	ни	I have neither a boyfriend nor a cat.
turn on	заводить, возбуждать	And I love his voice…his voice turns me on.
scale	масштаб, шкала	The scale is 1:500000, so it's around 12 miles.
care	переживать, интересоваться	The sail is tattered, but I don't care.
faint	обморок, падать в обморок	She faints every time she hears this word.
almost	почти	My tank was almost empty by the end of the trip.
donate	жертвовать, скидываться	I donated 5 euros, and you didn't.
approximate	приблизительный	We can only know the approximate time.
step down	уйти в отставку	I'm tired. I'm stepping down.
come true	сбываться	Dreams come true. But not yours.
comparison	сравнение	This is a height comparison of notable statues.
anchor	якорь, закреплять	Let's drop the anchor and stay awhile
powder	порошок	Moringa powder is gaining popularity.
advocate	защищать, отстаивать	She advocates the rights of Native Americans.
iron	железо, железный	This sword is forged from meteoric iron.
conventional	стандартный, общепринятый	Its conventional size is 297x210 mm.
sneak	красться	The cat sneaked up on it from behind.
faculty	дар, способность	Children possess an inborn faculty of a language.
set (set, set)	установить, наладить	Can you set a cuckoo clock?
refugee	беженец	The more refugees, the more crime.
elevate	поднимать, повышать	Please elevate us a bit more.
terrible	ужасный	He was wearing a terrible mask and fur.
infantry	пехота	It was Puerto Rico's 65th Infantry Regiment.
kitten	котенок	Toti is a tentative but playful kitten.
hassle	трудность, неудобство	It was a hassle to find such a hat.
petroleum	нефть	Petroleum will run out by 2040.
curb	узда, обуздать, сдержать	Curb your horse boy, calm him down.
bullshit	ерунда, чушь	At least ninety percent of that story is bullshit.
recite	декламировать, рассказывать	Then he recited a poem by Rabindranath Tagore.
wane	убывать	Do it by the riverside on the waning moon.
gala	праздник, торжество	The gala dinner starts at seven.
boast	хвастать, хвастовство	What accomplishments can you boast of?
interior	внутренность, внутренний	It was located in the interior of the fortress.
exterior	внешний, внешняя сторона	The exterior is adorned with bas-reliefes.
footage	запись, кадры видео	The footage was found in his attic 15 years later.
fumble	щупать, лапать, мять и т. д.	She fumbled in her pocket for the ticket.
tomb	надгробие, склеп	We had no time left to see the Humayun's Tomb.
oxygen	кислород	Have you refilled the oxygen cylinder?
dwell on	остановиться (подробно)	Let's dwell on this one for a moment.
newcomer	новичок	We have a newcomer in our class.
outfit	наряд, комплект, набор	It's a traditional Vietnam woman's outfit.
mosquito	комар	There are too many mosquitoes in your place.
come with	прилагаться	Breakfast comes with the room and is amazing.
porcelain	фарфор	They sent me a porcelain teapot with an elk picture.
feasible	выполнимый, осуществимый	A mission to Mars will be feasible within your lifetime.
merchant	торговец, купец	Many are suspicious of Yasuki merchants.
shack	лачуга, хибара, будка	There are a lot of roadside tea shacks in the area.
murky	мутный, тёмный	'This is a very murky story,' he said.
sour	кислый	I don't eat sour things anymore.
soak	мочить, пропитывать	Soak the seaweed in cold water for about a day.
illicit	незаконный, запрещённый	Most of them are engaged in illicit activity.
discrepancy	несоответствие, расхождение	I discovered a significant discrepancy, sir.
humid	влажный	It gets hot there in the summers, humid.
grief	горе	She never talked about her grief.
likewise	также	Pedro likewise sat on the bench.
vicious	злобный, жестокий	A vicious vampire terrorizes the village.
flop	провал, неудача	Her first performance was a flop.
recollection	воспоминание	I have few recollections of him.
cling (clung, clung)	цепляться	The cat clung to the tree and cried like crazy.
intricate	сложный, запутанный	Intricate circuits are executed on printed boards.
jumble	перемешивать	Make up a sentence from the jumbled words.
turn down	отказаться от предложения	Oliver decisively turned down my help.
edible	съедобный	All mushrooms are edible, but some only once.
slit	щель	We should land here and pass through the slit.
conjunction	соединение, связь	These two reports should be read in conjunction.
film	снимать кино	Most Spaghetti Westerns were filmed in Spain.
gossip	слухи	She often spreads gossip about me.
delusion	наваждение, заблуждение	We all are liable to the same delusions.
destiny	судьба, предназначение	I don't believe in destiny.
inventory	опись, учёт	This book was never listed in the inventory.
liver	печень	How do I know if my liver is OK?
set smb back	обойтись в (сумму)	Our wedding set us back €2500.
prevent smb from	мешать	The mesh will prevent mosquitoes from entering.
hover	зависнуть, парить	The helicopter hovered just above us.
cereal	злак, каша, хлопья	Frank, that cereal is for children.
meager	скудный, недостаточный	The harvest is meager, we're gonna starve.
squeal	визг, визжать	The pig squealed and tried to run away.
distort	искажать	The reflection is distorted but beautiful
foresee	предвидеть	I foresee unforeseen circumstances.
firefighter	пожарник	The firefighters arrived too late.
scorn	презирать, презрение	My offer was met with some scorn.
be keen to	желать, стремиться	I was keen to know what would happen next.
deceased	покойный, усопший	The body of the deceased was held in the morgue.
wax	воск	A bee's honeycomb is made of wax.
diffuse	рассеивать, распылять	The molecules eventually diffuse evenly.
wag	махать, вилять	He wagged his tail, inviting me to play.
offspring	отпрыск или всё потомство	Their offspring are likely to pick up this habit too.
pearl	жемчуг, жемчужина	How do I distinguish the real pearl from the fake one?
stink (stank, stunk)	вонять	It stinks, throw it away.
desolate	пустынный, безлюдный	I was the only one in this desolate place.
civic	гражданский	We got support from church and civic leaders.
scrape	скрести	Scrape the old paint from the wall before painting.
oversee	контролировать, надзирать	Charles oversees the underwater work.
cubicle	отсек, кабинка	The green cubicle is free.
negligent	небрежный, халатный	The negligent cook burned my fish.
bleak	мрачный	The outlook remains bleak.
lord	господин, господь (бог)	Oh lord, give me patience.
hull	корпус, оболочка	The hull is made up of extremely strong steel plates.
scarf	шарф	A jumper and scarf will work for your tour of Russia.
demise	кончина, конец	What happened after Guinevere's demise?
stringent	строгий	The garbage disposal regulations are very stringent.
breadth	ширина, широта	The breadth of your vision is limited.
mock	издеваться, насмехаться	Whom do they mock?
pledge	залог, оставлять в залог	Here, take my passport as a pledge.
disciple	ученик, последователь	You have much to learn, my disciple.
coherent	согласованный, связный	His job is to make them play coherently.
ravage	разорить, сильно повредить	It's the least ravaged neighborhood in the city.
come on	включаться	It was that hour when the street lamps came on.
squirm	извиваться, ёрзать	Jasper squirmed in the new pet carrier.
specify	указать, установить, уточнить	Specify the time of the meeting.
cherish	лелеять, хранить	I will cherish these memories all my life long.
velocity	быстрота перемещения	The velocity of the comet is 20,000 km/hr.
vegetation	растительность	Its ruins are buried under abundant vegetation.
thump	колотить	They had been thumping their drums all along.
retrieve	извлечь, вернуть	Retrieve the bird carefully.
beep	гудок, гудеть, пищать	Wait, the machine has to beep.
point	пункт	My plan consists of three points.
overt	явный, открытый	It's overt discrimination on the basis of age.
lick	лизать	Don't lick metal in the cold.
wrongdoing	проступок, правонарушение	She had no record of any personal wrongdoing.
mob	толпа (неуправляемая)	The black mob surrounded his car.
formidable	внушительный, грозный	Hulk looks the most formidable of them.
vegetation	растительность	Its ruins are buried under abundant vegetation.
thump	колотить	They had been thumping their drums all along.
retrieve	извлечь, вернуть	Retrieve the bird carefully.
beep	гудок, гудеть, пищать	Wait, the machine has to beep.
point	пункт	My plan consists of three points.
overt	явный, открытый	It's overt discrimination on the basis of age.
lick	лизать	Don't lick metal in the cold.
wrongdoing	проступок, правонарушение	She had no record of any personal wrongdoing.
mob	толпа (неуправляемая)	The black mob surrounded his car.
formidable	внушительный, грозный	Hulk looks the most formidable of them.
shrewd	проницательный	She is too shrewd not to see through my lies.
devoid	лишенный	Venus is devoid of water.
grope	щупать, искать вслепую	We still grope in the darkness of our ignorance.
immerse	погружаться (в т. ч. перен)	I was immersed in thoughts of the upcoming meeting.
chemistry	химия	One day I will win a Nobel Prize for chemistry.
piss about	страдать хернёй	What am I doing? Just pissing about.
break (broke, broken)	нарушать	Rules are made to be broken.
bring down	сбрасывать, свергать	Bring down a dictator, then bring down his statue.
come up	приближаться (о событии)	How about the Tuesday coming up?
cage	клетка	It shouldn't be kept in a cage like this.
fortune	счастье, удача, судьба	On Tuesday, Fortune's Wheel turned against me.
apt	склонный, способный	The rich are apt to look down upon the poor.
compulsory	принудительный, обязательный	Primary and secondary education is compulsory in India.
dress up	нарядиться	Lu was dressed up as a bloody elf.
baffled	в неодумении, в тупике	We were completely baffled.
mop	швабра, мыть пол	Go and get a mop and clean it up right now…
chestnut	каштан	Roasted chestnuts are good enough to eat as is.
succession	последовательность, преемственность	Ecological succession is a gradual process.
repeal	отменить (закон)	The law was repealed as discriminatory.
appraise	оценивать	The officials appraised the damage at $25,000.
gulf	разрыв, пропасть	The gulf between us is too great to overcome.
vain	тщеславный, самолюбивый	I didn't know she was so vain.
subscribe	подписываться	Don't subscribe to their newsletter.
proclaim	провозглашать	The independence of Peru was proclaimed in 1821.
let smb down	подвести	My brakes let me down.
wad	комок или пачка (денег)	He produced a wad of crumpled tenners from his pocket.
bring up	поднять тему	It was not me who brought up the subject.
invert	переворачивать, опрокидывать	Someday, somewhere in the inverted world.
compartment	отсек, отделение, купе	The third class, the cheapest compartment.
officer	служащий, должностное лицо	Abdel Perera is a Foreign Service officer.
clasp	застёжка, застёгивать	Now don't forget, the clasp needs fixing.
annoy	раздражать, надоедать	He is like an annoying fly.
intermediate	промежуточный	It's an intermediate link between reptiles and birds.
kit	комплект, набор	Everyone should have a first aid kit.
stout	толстый, плотный, крепкий	He keeps them in a stout pot with a heavy lid.
soap	мыло	You may take a piece of soap if you need.
foliage	листва	The foliage is far too dense for that.
fugitive	беглец	The fugitives reached the border in six days.
undo	расстёгнуть, развязать, открыть	And the belt is undone in the last picture.
skip	прыгать, перепрыгивать	You can skip this chapter and head to the next.
talk into	уговорить	Finally, he talked me into coming with him.
congratulate	поздравлять	Reagan personally congratulated him.
faraway	далёкий	The old sailor often dreamed of that faraway island.
bow out	откланяться, уйти	It's time for me to bow out.
subtract	вычитать	Multiply and divide first, then add and subtract.
clap	хлопать в ладоши	Please, stop clapping.
distress	несчастье, страдание	It was a profound distress to all of us.
headlight	передняя фара	All I saw were the headlights, I thought it was you.
subvert	подорвать	Terrorism subverts the Arab-Israeli peace process.
scant	скудный	The scant vegetation is due to scant rainfall.
thief (pl: thieves)	вор	My friend Bob is a car thief.
yank	дергать	Don't yank a horse's tail like that.
fond of	любящий	I'm fond of strawberries.
flinch	дёрнуться, дрогнуть	The girl flinched and clung to her mother.
bald	лысый, плешивый	He was shaved bald like all the monks.
fountain	фонтан	Can we float closer to the fountains?
vomit	рвота, блевать	Don't vomit, 'cause it'll start a chain reaction.
salesperson	продавец (в магазине)	The salesgirl advised me to get Hawaiian Kona.
swap	менять, обмен	The capitains swapped shirts as a mark of respect.
dissolve	растворять, растворяться	I just dissolved a drop of ink in it.
bluff	блеф	Today's lesson: How to draw out the bluff.
petty	мелкий, мелочный	They are just petty, pathetic people.
snail	улитка	The snail is climbing mount Fuji.
gutter	желоб, сток	There's some stuff in the gutter.
slim	стройный	In this photo she is still slim.
berth	койка, место, полка в поезде	I'm afraid to fall from the upper berth.
prey	добыча	The cock fell prey to his stupidity.
raisin	изюм	Samantha choked on a raisin and died.
casualty	жертва, потери	The casualties are 4 killed and 7 wounded.
cemetery	кладбище	She enjoys walking in cemeteries.
bachelor	бакалавр	A bachelor's degree doesn't guarantee anything.
rude	грубый, неприличный	He is a rude and unpleasant person.
hatch	люк	Make sure to close the hatch tight.
dumb	немой	It's a dialogue between the deaf and the dumb.
boulder	валун	This boulder is known as 'Krishna's Butter Ball'.
massacre	резня	Catherine de Medici instigated the massacre.
akin	похожий	It was a tuza, a rodent akin to the gopher.
grape	виноград (ягода)	Go wash the grapes.
vine	виноград (растение)	Now vines grow on that spot.
frenzy	неистовство, безумие	'Crucify him', the crowd roared in a frenzy.
rumble	грохот, рокот	The rumble of the waterfall had become a roar.
eat out	есть не дома	Every Sunday, they eat out.
scar	шрам	It just left a scar on my neck.
rubble	щебень, обломки	He survived six horrifying days under the rubble.
jolly	веселый	Hoist up the Jolly Roger!
pervert	извращать, извращенец	Maybe my taste is perverted, but I like this movie.
dam	плотина	The dam creates Lake Marathon.
flush	промывать, смывать	Is it difficult to flush after yourself?
assimilate	усваивать	Some people cannot assimilate lactose fully.
convene	созывать, собирать	We will not convene such meetings anymore.
turn up	сделать погромче	It's my favorite song, I'll turn it up!
apart from	помимо	Apart from the elephants, there was a giraffe.
spectacle	зрелище	Corrida is a dubious spectacle.
ray	луч	The last rays of the day fell on the valley.
sock	носок	The socks slip down, and I have to tug them up.
backpack	рюкзак	I can't find it in my backpack. Check yours.
shark	акула	No, thank you, I'm afraid of sharks.
stealth	скрытность, хитрость	This aids them when hunting by stealth.
gravel	гравий	Gravel beaches are present along the shoreline.
broth	бульон, отвар	Bone broth is incredibly easy to make.
clear up	прояснить(ся)	The rain is over, the sky is clearing up.
lodge	домик, поселиться, остановиться	Matt and I lodged in the same house.
puff	дуновение, пых, клубы (дыма)	A puff of colored smoke rose from underground.
redeem	выкупить, искупить	One of these days I'll redeem it from the pawnshop.
shrub	куст	The hedgehog is under the jasmine shrub.
hail	град	Golf-ball-sized hail? I don't buy it.
drizzle	моросить, морось	It was drizzling, and I didn't want to go outside.
caress	ласкать, гладить	Caress me as you did before.
dizzy	головокружительный	It was the dizziest feeling I have ever experienced.
filth	грязь, гадость	Kenny, take away this filth.
buy up	скупить	This guy bought up all the paint in the store.
stoop	крыльцо со ступеньками (амер.)	Catherine met us on her stoop.
forge	ковать	Martin forged it especially for me.
prescribe	предписывать	The physician prescribed a tranquilizer.
attain	достигать	They seldom attain a height of over 15 feet.
quarry	карьер	He saw you at the quarry the night Michael died.
look around	посмотреть, оглядеть	Let's go and look around the old town.
hurl	метать, бросать с силой	After taking two steps, he hurled the boomerang.
resent	огорчаться, возмущаться	She used to resent the way I talked to her.
drop off	завезти, высадить	Drop me off right here at the corner, man.
buy up	скупить	This guy bought up all the paint in the store.
stoop	крыльцо со ступеньками (амер.)	Catherine met us on her stoop.
forge	ковать	Martin forged it especially for me.
prescribe	предписывать	The physician prescribed a tranquilizer.
attain	достигать	They seldom attain a height of over 15 feet.
quarry	карьер	He saw you at the quarry the night Michael died.
look around	посмотреть, оглядеть	Let's go and look around the old town.
hurl	метать, бросать с силой	After taking two steps, he hurled the boomerang.
resent	огорчаться, возмущаться	She used to resent the way I talked to her.
drop off	завезти, высадить	Drop me off right here at the corner, man.
stool	табурет	Calm down. Sit down on the stool.
misery	нищета	In Haiti, however, misery deepened.
intrude on	вторгаться, вмешиваться	I won't tolerate you intruding on my family life, sir.
martyr	мученик	St. Sebastian is a martyr who died for his faith.
pillow	подушка	The pillow fight is an annual flashmob.
flap	створка, клапан, хлопать	I made the cat flap myself.
flute	флейта	W.A.Mozart - Concert for flute with orchestra, D-dur.
scissors	ножницы	The scissors are blunt. Do you have other ones?
hog	большой свин, боров	Jack, don't be such a hog.
ward	палата, отделение, камера	We stayed in the same ward.
order	приказ	Then he gave the last orders before the battle.
cut across	пересечь, срезать путь	It wasn't the best idea to cut across the forest.
interrogate	допрашивать	Her boyfriend was interrogated twice.
foil	расстаривать, разрушать	Our barbecue plan was foiled by rain.
soot	сажа	They haven't cleaned the soot off the bas-relief.
snapshot	снимок	I took some snapshots on the move.
aggregate	совокупный	The aggregate area of the islands is 12.200 sq. km.
loop	петля	Take a rope, make a loop.
paw	лапа	Now, give me the paw. Good girl.
fit in with	вписаться (в коллектив)	I'm good at fitting in with a new group.
hand in	сдать	He had to hand in his gun.
chord	аккорд	The chords are simple, and the lyrics are fun.
zoo	зоопарк	The second ostrich escaped from the zoo.
be after	иметь целью	Who are they? What are they after?
coincidence	совпадение	Coincidence? I don't think so.
youngster	юноша, ребёнок	She believed that the youngster would go far.
come to life	оживать, приходить в себя	After coming to life, Bruce related that wonderful story.
serene	безмятежный, безоблачный	My relationship with my husband has been serene.
crib	раскладушка или дет. кроватка	Now he is sleeping in his own crib.
mammoth	мамонт	We'll clone mammoths and will breed them.
suitcase	чемодан	All of my stuff fits in a single suitcase.
pass up	не воспользоваться шансом	I passed up the invitation. Don't wanna see nobody.
thug	бандит, головорез	He is a thug, but he is our thug.
coffin	гроб	Bury me in a fashionable coffin.
dread	страх, бояться	A feeling of dread was in the air.
pity	жалость	What a pity, what a pity.
drown	тонуть	She drowned on this very day a year ago.
break into (break in)	проникнуть, вломиться	It uses dog doors to break into houses.
census	перепись	The next census was in 1910.
balloon	воздушный шар	What if our balloon catches fire?
exile	ссылка, изгнание	Marius returned from exile and killed them all.
meantime	тем временем	In the meantime, she was smoking.
numb	онемелый, окоченевший	I sat for a while until my legs got numb in the water.
fin	плавник	Guess whose fin it is.
bout	всплеск, приступ	Sometimes I have bouts of activity.
trousers	брюки	At least you've got good trousers.
resilient	стойкий, упругий	Birches are resilient and able to bend to the ground.
mess up	испортить, накосячить	Come on. Don't mess it up!
receipt	квитанция	Mr. Horn never throws away receipts.
pile up	сложить, навалить	The cash was piled up in heaps in the colonel's flat.
detach	отделить, оторвать	Detach a piece of bark from a tree trunk.
rabbit	кролик	There are too many rabbits in Australia.
